,Amount,Frequency,Recency
0,0.0,2,325
1,4310.0,182,1
2,1797.24,31,74
3,1757.55,73,18
4,334.4,17,309
5,1545.41,95,35
6,89.0,4,203
7,1079.4,58,231
8,459.4,13,213
9,2811.43,59,22
10,6207.67,131,32
11,1168.06,19,1
12,6245.53,254,7
13,2662.06,129,51
14,189.9,10,286
15,5154.58,274,2
16,552.0,23,109
17,1313.1,85,7
18,320.69,23,290
19,168.9,11,3
20,3545.69,167,50
21,1887.96,63,44
22,1298.04,52,71
23,364.6,14,310
24,742.9300000000001,33,24
25,455.42,18,2
26,1628.12,77,314
27,4008.62,219,129
28,850.29,41,81
29,2720.56,105,21
30,1803.96,91,4
31,1839.31,100,184
32,566.16,30,28
33,401.9,10,337
34,2780.66,100,15
35,549.84,32,79
36,460.89,100,21
37,1582.6000000000001,64,71
38,1272.48,27,63
39,2998.28,159,15
40,2409.9,126,35
41,1635.6599999999999,85,45
42,1108.65,59,118
43,84.3,5,302
44,225.6,11,322
45,409.7,6,49
46,1710.39,54,148
47,3280.75,108,21
48,1708.1200000000001,77,49
49,2842.57,113,32
50,11056.93,114,78
51,681.0799999999999,28,300
52,1226.88,61,74
53,694.15,40,66
54,562.41,18,216
56,3578.8,198,2
57,668.58,34,112
58,600.39,29,63
59,806.27,46,15
60,803.5600000000001,39,95
61,1849.11,126,0
62,1760.96,30,162
63,777.2,36,77
64,582.73,30,194
65,708.37,35,11
66,7877.2,300,25
67,3750.4,97,8
68,256.4,11,42
69,6416.39,240,35
70,5059.32,108,42
71,13375.87,420,0
72,765.19,54,84
73,7829.89,36,79
74,509.01,16,99
75,4896.66,201,1
76,2906.85,98,13
77,173.55,11,366
78,172.06,12,2
79,5005.46,177,20
80,133.4,4,21
81,1002.3100000000001,58,57
82,476.49,26,242
83,449.45,22,43
84,4067.29,191,21
85,197.88,8,155
86,8933.52,355,10
87,428.57,23,16
88,707.09,43,133
89,5.684341886080802e-14,30,52
90,2466.86,90,72
91,3153.89,129,43
92,1917.78,68,57
93,947.4,38,70
94,826.88,35,93
95,1124.01,72,1
96,1303.63,88,45
97,1212.05,29,9
98,733.89,51,7
99,724.0400000000001,40,142
101,6229.48,391,30
102,2848.23,179,28
103,7116.47,457,16
104,723.38,36,53
105,6546.58,264,0
106,13117.01,308,22
107,680.99,36,3
108,477.3,35,3
109,3281.63,154,27
110,5590.86,218,22
111,2327.13,81,16
112,4495.27,350,32
113,1298.66,55,9
114,334.93,15,335
115,5417.93,245,4
116,460.40000000000003,26,38
117,263.21000000000004,20,62
118,416.79,23,165
119,1139.3500000000001,84,9
120,1043.1,14,81
121,403.70000000000005,23,20
122,4206.27,65,22
123,2089.68,160,314
124,3723.87,147,95
125,-1126.0,1,337
126,114.0,15,17
127,-4.5,1,300
128,73.5,23,232
129,1258.06,23,133
130,398.27,69,25
131,176.5,7,283
132,982.5699999999999,33,142
133,138.03,34,65
134,586.79,36,84
135,1017.68,51,266
136,383.7,16,352
137,1312.06,26,77
138,2464.89,286,27
139,2056.89,124,0
140,340.84,18,63
141,2582.51,155,78
142,599.68,38,142
143,192.72,12,38
144,1745.57,110,1
145,4485.72,144,8
146,1316.66,71,0
147,348.71000000000004,18,81
148,1922.28,95,8
149,1623.63,68,59
150,125.22,17,14
151,349.83000000000004,16,29
152,1089.18,63,130
153,716.35,34,91
154,4106.82,273,7
155,363.95,21,28
156,3852.5,274,21
157,13309.039999999999,481,19
158,981.18,52,29
159,355.7,20,29
160,1000.39,50,74
161,1141.5,70,46
162,207.79999999999998,8,197
163,95.19999999999999,5,165
164,964.83,57,78
165,168.0,10,357
166,437.82,20,38
167,3652.25,196,7
168,603.71,121,49
169,11990.960000000001,33,15
170,1.0658141036401503e-14,22,1
171,536.21,22,310
172,2101.39,111,4
173,238.85,16,302
174,3781.7400000000002,168,7
175,456.9,21,260
176,131.17,10,281
177,346.7,20,72
178,9114.94,463,22
179,4064.9900000000002,191,1
180,519.61,34,39
181,1004.72,62,8
182,160.54000000000002,28,226
183,218.45,11,315
184,1306.98,89,35
185,595.4,148,34
186,2753.36,120,20
187,410.72,31,72
188,415.7,24,246
189,197.71,15,39
190,511.36,22,238
191,7187.34,251,2
192,1893.95,126,3
193,1982.81,97,233
194,179.94000000000003,12,16
195,144.0,4,7
196,214.89999999999998,10,38
197,646.68,35,28
198,9861.38,70,189
199,452.84999999999997,26,316
200,437.6,18,91
201,418.09999999999997,21,108
202,3320.2200000000003,119,37
203,618.27,27,50
204,3683.13,214,18
205,3002.68,133,9
206,1032.58,62,28
207,2581.04,65,28
208,569.5600000000001,29,189
209,153.12,12,58
210,739.1999999999999,3,21
211,254.18,16,78
212,-7.5,3,364
213,3.552713678800501e-15,202,57
